date,Doubles: Slayer,FFA: Slayer,SWAT: Ranked:Tactical Slayer,Slayer: Slayer,Snipers: Slayer,Survivors
2024-04-09,0.0,0.0,45.95286513517424,0.0,0.0,0.0
2024-04-16,0.0,0.0,39.96627654267331,0.0,0.0,0.0
2024-04-23,0.0,0.0,30.997332682864915,0.0,0.0,0.0
2024-04-30,0.0,0.0,38.3113003164162,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,49.1619371892267,0.0
2024-05-14,0.0,0.0,0.0,0.0,55.243987553310525,0.0
2024-05-21,0.0,0.0,0.0,0.0,48.30824786896486,0.0
2024-05-28,0.0,0.0,0.0,0.0,45.59987913449153,0.0
2024-06-04,0.0,0.0,0.0,0.0,44.16878413032686,0.0
2024-06-11,23.645561543065828,0.0,8.718592324307208,24.538998880326073,0.0,0.0
2024-06-18,18.729094594943398,0.0,7.6400693502494175,23.291627630288136,0.0,0.0
2024-06-25,17.86152818387071,0.0,6.618500564973396,24.400276661465107,0.0,0.0
2024-07-02,13.185048444568958,0.0,0.0,26.43069341533483,9.299136912222654,0.0
2024-07-09,12.657260025716011,0.0,0.0,24.054961758920832,9.719667918917033,0.0
2024-07-16,13.144765639605273,0.0,0.0,22.628418035400497,10.217599677484726,0.0
2024-07-23,12.60664624018148,0.0,0.0,22.097577569533073,8.109073762576172,0.0
2024-07-30,13.718196196429892,0.0,0.0,22.986209758619975,9.063803327954508,0.0
